name,description,datatype,vartype,min,max,values,convert
screenporch,Screen porch area in square feet,numeric,Continuous,0,,,
poolarea,Pool area in square feet,numeric,Continuous,0,,,
poolqc,Pool quality,categorical,Ordinal,,,Ex|Gd|TA|Fa|NA,"{'Ex': 5, 'Gd': 4, 'TA': 3, 'Fa': 2, 'NA': 0}"
fence,Fence quality,categorical,Ordinal,,,GdPrv|MnPrv|GdWo|MnWw|NA,"{'GdPrv': 4, 'MnPrv': 3, 'GdWo': 2, 'MnWw': 1, 'NA': 0}"
miscfeature,Miscellaneous feature not covered in other categories,categorical,Nominal,,,Elev|Gar2|Othr|Shed|TenC|NA,
miscval,$Value of miscellaneous feature,numeric,Continuous,0,,,
mosold,Month Sold,numeric,Discrete,1,12,,
yrsold,Year Sold,numeric,Discrete,1500,2020,,
saletype,Type of sale,categorical,Nominal,,,WD|CWD|VWD|New|COD|Con|ConLw|ConLI|ConLD|Oth,
saleprice,Sale price $$,numeric,Continuous,,,,
